#LINK
#lang ja
#attribution_name	Shin Osaki
#license	http://www.city.tottori.lg.jp/www/contents/1359717059120/index.html
#file_name	area_days
#property	地名	センター	可燃	食品トレイ	資源	小型破砕	プラスチック	ペットボトル	古紙類
#object_type_xsd	string	string	string	string	string	string	string	string	string
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion Assertion
赤子田		水 土	水	金	金	金	水2 水4	水3
朝月		水 土	水	金	金	金	水2 水4	水3
安蔵		水 土	水	金	金	金	水2 水4	水1
有富		水 土	水	金	金	金	水1 水3	水4
猪子		水 土	水	金	金	金	水2 水4	水3
今町一 二丁目		月 木	月	水	水	水	月1 月3	月4
岩倉		火 金	金	木	木	木	金2 金4	金1
岩坪		水 土	水	金	金	金	水2 水4	水1
岩吉		月 木	木	火	火	火	木2 木4	木3
上野(稲葉山地区)		水3	金2	木1 木3	木1 木3	木1 木3	金2	金1
上原		水 土	水	金	金	金	水2 水4	水1
上町		火 金	火	木	木	木	火1 火3	金1
内海中		月 木	月	水	水	水	月2 月4	木1
永楽温泉町		火 金	金	木	木	木	金2 金4	火3
江崎町		火 金	火	木	木	木	火1 火3	金1
江津		月 木	月	水	水	水	月1 月3	月2
戎町		月 木	木	金	金	金	木1 木3	木4
円護寺		月 木	木	金	金	金	木1 木3	木2
円通寺		水 土	水	月	月	月	水2 水4	水1
扇町		火 金	火	月	月	月	火1 火3	火2
大榎町		火 金	火	木	木	木	火1 火3	金1
大杙		火 金	火	月	月	月	火1 火3	金3
大塚		月 木	月	金	金	金	月1 月3	木2
大畑		月 木	木	水	水	水	木2 木4	月1
晩稲		月 木	木	火	火	火	木2 木4	月2
桶屋町		月 木	木	金	金	金	木1 木3	木4
尾崎		水 土	水	金	金	金	水2 水4	水1
面影一 二丁目		火 金	火	月	月	月	火1 火3	金3
御弓町(旧国道29号沿い及び東側)		火 金	金	木	木	木	金2 金4	火3
御弓町(上記以外)		月 木	木	金	金	金	木1 木3	木4
海蔵寺		火 金	金	水	水	水	金1 金3	金2
覚寺		月 木	木	金	金	金	木1 木3	木2
掛出町		月 木	木	金	金	金	木1 木3	木4
紙子谷		火 金	金	水	水	水	金1 金3	金2
鍛冶町		月 木	木	金	金	金	木1 木3	木4
片原一～五丁目		月 木	木	金	金	金	木1 木3	木4
桂木		火 金	金	水	水	水	金1 金3	金2
桂見(東桂見 西桂見)		水 土	水	火	火	火	水1 水3	水2
桂見(山王団地 桂見台団地)		月 木	木	火	火	火	木2 木4	木3
香取		火 金	金	水	水	水	金1 金3	金2
金沢		月 木	木	水	水	水	木2 木4	月1
叶		火 金	火	月	月	月	火2 火4	火1
叶一丁目		火 金	火	月	月	月	火2 火4	火1
上味野		水 土	水	金	金	金	水2 水4	水3
上魚町		月 木	木	金	金	金	木1 木3	木4
上段		月 木	月	金	金	金	月1 月3	木2
上砂見		水 土	水	金	金	金	水2 水4	水1
賀露町		月 木	月	火	火	火	月2 月4	月3
賀露町北一～四丁目		月 木	月	火	火	火	月2 月4	月3
賀露町西一～四丁目		月 木	月	火	火	火	月2 月4	月3
賀露町南一～六丁目		月 木	月	火	火	火	月2 月4	月3
川端一～五丁目		月 木	木	金	金	金	木1 木3	木4
瓦町		月 木	月	水	水	水	月1 月3	月4
北園一 二丁目		月 木	木	金	金	金	木1 木3	木2
北村		水 土	水	金	金	金	水1 水3	水4
行徳一～三丁目		月 木	月	水	水	水	月1 月3	月4
国安		水 土	水	月	月	月	水2 水4	水1
(JR因美線の東側)		火 金	火	月	月	月	火1 火3	金4
雲山(JR因美線の西側)		火 金	金	水	水	水	金1 金3	金4
蔵田		水 土	水	月	月	月	水2 水4	水1
栗谷町		火 金	火	木	木	木	火1 火3	金1
玄好町		月 木	木	金	金	金	木1 木3	木4
源太		水 土	水	金	金	金	水2 水4	水3
河内		水 土	水	金	金	金	水2 水4	水1
興南町		火 金	火	月	月	月	火1 火3	火2
高路		水 土	水	金	金	金	水1 水3	水4
越路		火 金	金	水	水	水	金1 金3	金4
古郡家		火 金	金	水	水	水	金1 金3	金4
小西谷		火 金	金	木	木	木	金2 金4	金3
小沢見		月 木	月	水	水	水	月2 月4	木1
寿町		月 木	月	水	水	水	月1 月3	月4
湖山町北一丁目		月 木	木	火	火	火	木2 木4	木3
湖山町北二～六丁目		月 木	月	火	火	火	月2 月4	月3
湖山町西一～四丁目		月 木	月	火	火	火	月2 月4	月3
湖山町西二丁目(JR山陰本線の南側)		月 木	木	火	火	火	木2 木4	木3
湖山町東一 五丁目		月 木	木	火	火	火	木2 木4	木3
湖山町東二～四丁目		月 木	月	火	火	火	月2 月4	月3
湖山町南一～五丁目		月 木	木	火	火	火	木2 木4	木3
材木町		月 木	木	金	金	金	木1 木3	木4
幸町		火 金	火	月	月	月	火2 火4	火3
栄町		月 木	月	水	水	水	月1 月3	月4
桜谷		火 金	火	月	月	月	火1 火3	火4
里仁		月 木	木	火	火	火	木2 木4	木3
里仁(世紀団地)		水 土	水	火	火	火	水2 水4	水3
倭文		水 土	水	金	金	金	水2 水4	水3
篠坂		水 土	水	金	金	金	水1 水3	水4
嶋		月 木	月	金	金	金	月1 月3	木2
下味野		水 土	水	金	金	金	水2 水4	水3
下砂見		水 土	水	金	金	金	水2 水4	水1
下段		月 木	月	金	金	金	月1 月3	木2
商栄町		月 木	木	火	火	火	木2 木4	月2
生山		火 金	金	水	水	水	金1 金3	金2
菖蒲		水 土	水	火	火	火	水2 水4	水3
正連寺		火 金	火	月	月	月	火1 火3	金3
職人町		月 木	木	金	金	金	木1 木3	木4
新(JR因美線の東側)		火 金	火	月	月	月	火1 火3	金4
新(JR因美線の西側)		火 金	火	月	月	月	火2 火4	金4
新品治町		月 木	月	水	水	水	月1 月3	月4
新町		月 木	木	金	金	金	木1 木3	木4
末広温泉町		火 金	金	木	木	木	金2 金4	火3
杉崎		火 金	金	水	水	水	金1 金3	金2
数津		火 金	火	月	月	月	火2 火4	火1
瀬田蔵		月 木	木	水	水	水	木2 木4	月1
双六原		月 木	木	水	水	水	木2 木4	月1
紊ф〃		月 木	月	金	金	金	月1 月3	木2
大覚寺		火 金	火	月	月	月	火2 火4	金4
大工町頭		月 木	木	金	金	金	木1 木3	木4
大工町頭(旧国道29号沿い)		火 金	金	木	木	木	金2 金4	火3
高住		水 土	水	火	火	火	水1 水3	水2
滝山		火 金	金	木	木	木	金2 金4	金3
竹生		水 土	水	金	金	金	水2 水4	水3
田島(県道田島片原線の北側)		水 土	水	金	金	金	水1 水3	水4
田島(県道田島片原線の南側)		月 木	月	水	水	水	月1 月3	月2
立川町一～七丁目		火 金	金	木	木	木	金2 金4	火4
玉津		水 土	水	金	金	金	水2 水4	水3
足山		月 木	木	火	火	火	木2 木4	木3
茶町		月 木	木	金	金	金	木1 木3	木4
千代水一～四丁目		月 木	木	火	火	火	木2 木4	月2
津ノ井		火 金	金	水	水	水	金1 金3	金2
寺町		月 木	木	金	金	金	木1 木3	木4
田園町一～四丁目		水 土	水	金	金	金	水1 水3	水2
天神町		火 金	火	月	月	月	火2 火4	火3
徳尾		水 土	水	火	火	火	水2 水4	水3
徳吉		水 土	水	火	火	火	水2 水4	水3
富安		火 金	火	月	月	月	火2 火4	火1
富安一 二丁目		火 金	火	月	月	月	火1 火3	火2
中大路		火 金	金	水	水	水	金1 金3	金4
中砂見		水 土	水	金	金	金	水2 水4	水1
中町(1区)		火 金	金	木	木	木	金2 金4	火3
中町(2区)		火 金	火	木	木	木	火1 火3	金1
中村		水 土	水	金	金	金	水1 水3	水4
長柄		月 木	木	水	水	水	木2 木4	月1
南栄町		火 金	金	水	水	水	金1 金3	金2
二階町一～四丁目		月 木	木	金	金	金	木1 木3	木4
西今在家		水 土	水	金	金	金	水1 水3	水4
西円通寺		水 土	水	月	月	月	水2 水4	水1
西大路		火 金	金	水	水	水	金1 金3	金4
西品冶(県道田島片原線の南側)		月 木	月	水	水	水	月1 月3	月4
西品冶(県道田島片原線の北側)		水 土	水	金	金	金	水1 水3	水2
西町一～五丁目		月 木	木	金	金	金	木1 木3	木4
祢宜谷		火 金	金	水	水	水	金1 金3	金2
野坂		月 木	月	金	金	金	月1 月3	木2
野寺		水 土	水	火	火	火	水2 水4	水3
白兎		月 木	月	水	水	水	月2 月4	木1
橋本		水 土	水	月	月	月	水2 水4	水1
長谷		水 土	水	金	金	金	水2 水4	水3
八坂		水 土	水	月	月	月	水2 水4	水1
服部		水 土	水	火	火	火	水2 水4	水3
馬場		火 金	火	月	月	月	火2 火4	水1
馬場町		火 金	火	木	木	木	火1 火3	金1
浜坂		月 木	木	金	金	金	木1 木3	月1
浜坂一～八丁目		月 木	木	金	金	金	木1 木3	月1
浜坂東一丁目		月 木	木	金	金	金	木1 木3	木2
東今在家		火 金	火	月	月	月	火1 火3	火4
東大路		火 金	金	水	水	水	金1 金3	金4
東品冶町		火 金	火	月	月	月	火1 火3	火2
東町一～三丁目		火 金	火	木	木	木	火1 火3	金1
久末		火 金	金	水	水	水	金1 金3	金4
広岡		火 金	金	水	水	水	金1 金3	金2
福井		月 木	木	水	水	水	木2 木4	月1
伏野		月 木	月	水	水	水	月2 月4	木1
布勢(日吉台団地、東布勢の県道吉岡線)		水 土	水	火	火	火	水1 水3	水2
布勢(上記を除く)		月 木	木	火	火	火	木2 木4	木3
船木		火 金	金	水	水	水	金1 金3	金2
古市		火 金	火	月	月	月	火2 火4	火1
古海		水 土	水	火	火	火	水2 水4	水3
卯垣		火 金	金	木	木	木	金2 金4	金1
卯垣(一～五丁目)		火 金	金	木	木	木	金2 金4	金3
包丁人町		月 木	木	金	金	金	木1 木3	木4
細見		水 土	水	金	金	金	水2 水4	水1
洞谷		月 木	木	水	水	水	木2 木4	月1
本町一～五丁目		月 木	木	金	金	金	木1 木3	木4
槙原		水 土	水	金	金	金	水2 水4	水1
松上		水 土	水	金	金	金	水2 水4	水1
松並町一丁目		水 土	水	金	金	金	水1 水3	水4
松並町二 三丁目		月 木	月	水	水	水	月1 月3	月2
松原		月 木	木	水	水	水	木2 木4	月1
的場		火 金	火	月	月	月	火2 火4	金4
的場一～四丁目		火 金	火	月	月	月	火2 火4	金4
丸山町		月 木	木	金	金	金	木1 木3	木2
御熊		月 木	月	水	水	水	月2 月4	木1
三津		月 木	月	水	水	水	月2 月4	木1
緑ヶ丘一～三丁目		月 木	木	火	火	火	木2 木4	月2
港町		月 木	月	火	火	火	月2 月4	月3
南隈		月 木	木	火	火	火	木2 木4	月2
南町		月 木	月	水	水	水	月1 月3	月4
南安長一～三丁目		月 木	木	火	火	火	木2 木4	月2
南吉方一 二丁目		火 金	火	月	月	月	火1 火3	火2
南吉方三丁目		火 金	金	木	木	木	金2 金4	火3
美萩野一～五丁目		月 木	月	水	水	水	月2 月4	木1
宮谷		月 木	月	金	金	金	月1 月3	木2
宮長		火 金	火	月	月	月	火2 火4	火1
三山口		月 木	木	水	水	水	木2 木4	月1
妙徳寺		月 木	木	水	水	水	木2 木4	月1
美和		火 金	金	水	水	水	金1 金3	金4
向国安		水 土	水	金	金	金	水2 水4	水3
元魚町一～四丁目		月 木	木	金	金	金	木1 木3	木4
元大工町		月 木	木	金	金	金	木1 木3	木4
本高		水 土	水	金	金	金	水1 水3	水4
元町		月 木	木	金	金	金	木1 木3	木4
百谷		火 金	金	木	木	木	金2 金4	金3
薬師寺		水 土	水	金	金	金	水1 水3	水4
安長(千代川の西側)		月 木	木	火	火	火	木2 木4	月2
安長(千代川の東側)		月 木	月	水	水	水	月1 月3	月2
矢矯		月 木	木	水	水	水	木2 木4	月1
山城町		月 木	木	金	金	金	木1 木3	木2
弥生町		火 金	金	木	木	木	金2 金4	火3
湯所町一 二丁目		火 金	火	木	木	木	火1 火3	金1
横枕		水 土	水	金	金	金	水2 水4	水3
吉岡温泉町		火 金	金	水	水	水	金2 金4	金1
吉方		火 金	金	木	木	木	金2 金4	火3
吉方温泉一～四丁目		火 金	金	木	木	木	金2 金4	火3
吉方町一 二丁目		火 金	金	木	木	木	金2 金4	火3
良田		水 土	水	火	火	火	水1 水3	水2
吉成		火 金	火	月	月	月	火2 火4	火1
吉成一～三丁目		火 金	火	月	月	月	火2 火4	火1
吉成南町一 二丁目		火 金	火	月	月	月	火2 火4	火1
六反田		月 木	木	水	水	水	木2 木4	月1
若桜町		月 木	木	金	金	金	木1 木3	木4
若葉台北一～六丁目		火 金	金	水	水	水	金1 金3	金2
若葉台南一～七丁目		火 金	金	水	水	水	金1 金3	金2
